gene	WT_0.5mM	WT_10mM	arp6_0.5mM	arp6_10mM	cluster_5_pearson	cluster_5_pearson_color
AT2G22470	-0.04453767495047458	-0.3062885676943458	0.4308769667149722	-0.2530893613604147	1	#8DD3C7
AT5G67400	-0.15630483143762464	-1.1055954879428982	0.7286098966063043	-0.05773427634501221	1	#8DD3C7
AT1G12900	-0.11375749349988266	0.08722706324817014	-0.22537276294439837	0.20010228077287395	4	#FB8072
AT2G38390	-0.2293972689125862	0.42445832619730406	-0.4764043716641728	0.07711431235702915	4	#FB8072
AT3G52380	-0.22302971937785124	0.13162365149329336	-0.25789664241004806	0.27352854572641316	4	#FB8072
AT4G11320	-0.20417704754347013	-0.3323079157923289	0.43574466248365107	-0.02974272653476407	1	#8DD3C7
AT2G42220	-0.05654222853971786	0.012456277166479788	-0.31237786755832986	0.27369212706431606	2	#FFFFB3
AT3G28550	0.1928417479613355	-0.2054978708083495	0.32275374466189677	-0.4661988939180317	3	#BEBADA
AT2G18150	0.055853730553825774	0.44706252654830203	-0.8490252864974509	0.008464470507694714	5	#80B1D3
AT5G50950	-0.6211773399818469	-0.19067212850458945	-0.2087033846743519	0.6312822811069253	2	#FFFFB3
AT2G37040	0.03320638166125533	-0.16829052246823087	0.26941256348881576	-0.189372132099253	3	#BEBADA
AT3G44310	-0.13586698752540058	0.09576679172320204	-0.3379561445351966	0.25051127408615825	2	#FFFFB3
AT4G05690	-0.22081076679088965	0.05977892109877772	-0.24664588452519756	0.3200089541157166	4	#FB8072
AT2G46820	-0.18838183057764243	0.044570037379794744	-0.1960320265285785	0.2769708433806133	4	#FB8072
AT4G08300	0.5011637291789235	-0.35069121121919034	0.23893179118890204	-0.8121272733155778	3	#BEBADA
AT3G62550	-0.28805749083269305	0.1027916804916934	-0.3155040363833432	0.36173806654322327	4	#FB8072
AT1G52230	-0.0629220651787223	0.0010266971128024144	-0.2512137828828068	0.2501366811842319	2	#FFFFB3
AT3G52150	-0.20465367530135678	0.027045684309169652	-0.17178008451265042	0.2893989940212217	2	#FFFFB3
AT5G42650	-0.2887109193505616	0.10059125394285653	-0.306558559779858	0.3397201638087361	4	#FB8072
AT4G26010	-0.031430284288867634	-0.6445374195398794	0.5349833836186175	-0.14187507569053837	1	#8DD3C7
AT3G25770	0.3306361633154415	0.6111149646183248	-1.6069405765757192	-0.5528671400032122	5	#80B1D3
AT1G05190	-0.12016577058048691	0.10057077493882585	-0.22849974381317328	0.19851595732930594	4	#FB8072
AT5G16710	-0.1501337683776608	0.07249611702241845	-0.27485413860410757	0.2695394178767249	4	#FB8072
AT4G02530	-0.29210062931041497	-0.02506163740175693	-0.169671048512914	0.37809371007019005	2	#FFFFB3
AT2G42247	-0.07964092108673883	-0.7331473499047084	0.6968220259371094	-0.3276965604977214	1	#8DD3C7
AT5G02160	-0.1568371886723581	0.21590642710366215	-0.30030892347586585	0.17051891710580525	4	#FB8072
AT4G09650	-0.2343542391345198	0.027333309441359567	-0.18963461224212969	0.31784839463431847	2	#FFFFB3
AT1G62780	-0.2350612692573776	0.0904860942870933	-0.25782473522881166	0.31146547414621334	4	#FB8072
