gene	arp6_0.5mM_1	arp6_0.5mM_2	arp6_0.5mM_3	WT_10mM_1	WT_10mM_2	WT_10mM_3	arp6_10mM_1	arp6_10mM_2	arp6_10mM_3	WT_0.5mM_1	WT_0.5mM_2	WT_0.5mM_3	cluster_6_pearson	cluster_6_pearson_color
AT3G22860	1.3506572961208738	0.8403872296577679	-0.8095940028840597	-0.8095940028840597	-0.8095940028840597	-0.7556941317993174	0.7216520796967506	1.4218150824715132	1.2270759395792938	-0.8095940028840597	-0.7805958467352461	-0.7869216374553974	2	#FFFFB3
AT3G22940	1.151931190418593	1.00240188316839	0.683294004964031	-0.9508204490045467	-0.9508204490045467	-0.9508204490045467	1.093412294099638	0.9506428327847279	0.8232404885919002	-0.9508204490045467	-0.9508204490045467	-0.9508204490045467	2	#FFFFB3
AT3G22942	-0.6364200757551168	-0.11643444329671487	-1.848502369984025	0.7256482701774486	1.1111493757428503	-0.0350635539420297	-0.9751719190155727	-0.3497080931258923	-0.9988311031735803	1.2426305141872656	1.0363487569894394	0.8443546411959292	6	#FDB462
AT3G23100	-0.9483570028232786	-0.935680521065539	-1.2592849905632375	1.5725301831327383	0.44117828910394036	0.6566521657186438	-0.5228045314343659	-0.9782354730408853	-0.8177316811650023	1.099667563236125	0.8251284459161615	0.866937552984698	6	#FDB462
AT3G23110	-0.6887122847603869	-0.86807654128979606	-0.12543719887587085	1.5331797716515057	-0.46195660216954365	0.5471874491785743	-0.6690703908112161	-0.8012898757633518	-0.7411836801849293	2.0153452687335713	-0.6310552688831961	0.8910693531746392	6	#FDB462
AT3G23250	-0.28005772201450807	-0.7153865292931844	-1.0537447165483556	0.5358970262346084	-0.20223658843987474	2.6125796327823885	0.09273856337814533	-0.7116877969328864	-0.7133455746653696	0.9396701929252128	-0.4884221321107419	-0.016004355315434492	6	#FDB462
AT3G23255	-1.033585337854998	-0.24142353169773811	-1.50281870750802	0.2916369247736395	1.3581437886994008	-0.03005284380143515	-0.5108882602597057	-0.9845654266672652	-0.7355535607262607	0.9673270117055631	1.0612293374376165	1.3605506058992007	6	#FDB462
AT3G23325	-1.0230336922911922	-0.7142539402062756	-1.0421231631210033	0.6648224209244813	0.9858807230815938	0.5353152733425319	-1.0446162438217772	-0.8760180751961564	-0.8174796591378225	1.5879686079790787	1.081769582263929	0.6617681661826126	6	#FDB462
AT3G23440	-0.3006635103438888	-0.9637104807036869	-1.718655654690082	0.11435984170665828	0.6426311170602792	0.7387129599241641	-0.7878343648038522	-0.6604402317824637	-0.3236575753932762	2.028894409530091	0.5141660406100184	0.71619744888604	6	#FDB462
AT3G23610	-0.8394620562922599	-0.8072437629684769	-1.0982652443871175	1.0577645685245949	0.7026970785004159	1.0006410320046848	-0.936294752394496	-1.08351421854432	-0.8567978167107718	1.0890765707963512	0.5090196151270566	1.2623789863443402	6	#FDB462
AT3G23860	1.7640479725357265	0.7974792953418017	0.47990258548007136	-0.9329017215337609	-0.9339343499748898	-0.7751098704460831	0.6057393932276091	1.342742282374569	0.3323237473258392	-0.8488048889658603	-0.898901343602191	-0.9325831017628327	2	#FFFFB3
AT3G24140	-0.21160972172742915	-0.8392954055253624	-1.90889098319065	0.23319319814152437	-0.4922880141956023	-0.24975743717409507	0.6728686096999011	-0.2563174660340692	-0.5188339819539473	0.438286211679931	1.1412532083354432	1.9913917819443558	6	#FDB462
AT3G24255	1.0094754938514077	1.6159611429005851	-0.6690226894572423	-1.0333352955642428	-0.796058805067597	-0.7498582850106914	0.8732733313616535	1.2539508457339172	0.604046078058862	-1.264261683508509	-0.46520490309340845	-0.3789652302047359	2	#FFFFB3
AT3G24463	-0.4291492018502136	-0.9764696662640696	-1.3122321591426827	-0.1732839307289257	0.9357704162773489	1.0874744894197101	-0.6692591206038812	-0.8541065023072945	-0.8368172290657978	1.7540190125181743	0.6614575759480809	0.8125963157995509	6	#FDB462
AT3G24515	-1.0037195873824942	-0.8422039737441797	-1.149005831293736	0.6646885068387433	1.1690310652332787	0.6978632981742325	-0.947622752461072	-0.8586702507717532	-0.8402488694971038	0.8453751897032816	0.9780221256491063	1.286491079551697	6	#FDB462
AT3G24560	-0.9156721398674875	-0.7749792349034452	-0.7765119091523804	0.6393600144417498	1.096618172962026	0.8348274204154071	-1.1145689266794263	-0.8802722581471755	-1.0491276503652194	0.3482096840221032	1.4558938458162929	1.1362229814575537	6	#FDB462
AT3G24575	-0.7988269253833883	-1.2832394627997938	-0.8105471214390498	1.2127513420576248	1.1890158608215253	0.9417066283535481	-0.8028301311366475	-0.8954690607913326	-0.9842768823394682	1.114581087673267	0.5067913282350813	0.6103433367486333	5	#80B1D3
AT3G24770	-0.8393558377424545	-0.8533957277042412	-1.7375746502843312	0.967678075833816	1.0993957885692205	0.35428182661759333	-0.7242334570441363	-0.3670901361457734	-0.7898318256669261	0.7289421754083591	1.3332045886972799	0.8279791794615953	6	#FDB462
AT3G24890	-0.5636145125379864	-0.7605332795514532	-1.2528834543498428	0.6949293042964965	0.8513362614295801	0.2609721436858123	-1.0261542932505352	-1.1907908083961074	-0.5769517018158711	1.4450647699670025	1.306351488110704	0.8122740824122018	6	#FDB462
AT3G24929	-0.839819464555496	-0.9916017516928919	-1.039118929048151	0.8227373203137457	0.777640286734392	0.5966604868173933	-0.8365962067752821	-0.9744896558934762	-0.9419158389398837	0.8918979776317851	1.1096446135483278	1.4249611618595373	6	#FDB462
AT3G24982	-0.7028535449178487	-1.018453405529974	-1.141904711860315	0.5223282511023817	0.8654179770398249	0.6478862413671574	-0.720641019617175	-1.0171891530134247	-0.8858698714562961	0.8337848531075146	0.9456540644326843	1.6718403193454707	6	#FDB462
AT3G25013	-0.851133017089088	-1.0038859837697252	-1.1226128312462433	0.6984107382916515	0.6252884900007863	0.5105357970859657	-0.9043891128796162	-0.7872497004984034	-0.7386889023028129	0.5921106955166805	1.701955273401448	1.2796585534893559	6	#FDB462
AT3G25030	-0.7353436098784434	-0.8887425012834634	-1.0893970891021385	0.8247308032508913	0.4070396955025414	0.9859578364304024	-0.8023114819830898	-1.0225803844214443	-1.0081256346935936	1.0285658990269997	0.7926601605839388	1.5075463065673997	6	#FDB462
AT3G25100	-0.9548955054203233	-0.4938479841075618	-1.3366767889140423	0.4514391132840525	1.7293676145781969	0.47063676454629005	-1.0515100183547788	-0.5747015810165412	-0.9022322450331491	0.798968616332486	0.839477655901101	1.0239743582042693	6	#FDB462
AT3G25210	-0.5982709546760147	-0.631905976483556	-1.3143493430291378	0.6837614899617847	0.6178496151482574	0.967686180441067	-0.9613214137778504	-0.9095845436929234	-0.8794575038895641	0.9718017191034063	0.2682080543707581	1.7855826765237734	6	#FDB462
AT3G25250	-0.5088778830039744	-0.20164240016624377	-0.9524443298546982	0.06299842844549197	0.10800464872271182	2.4133506464163794	-1.0821232923035111	-0.8173469614630623	-0.9351126448826098	0.52758339044726	0.664935521746205	0.7206748758960492	6	#FDB462
AT3G25400	-0.8706562579314491	-0.8970873983756802	-1.0616333809816543	0.8228668100069758	0.7013020226144263	1.0897169209303188	-1.1002676281507782	-0.8607042532525139	-0.8612320626983423	0.7720080622056255	1.3541151553004203	0.91157201033265145	6	#FDB462
AT3G25440	-0.6566820861170864	-0.44689197507350087	0.3159423354212693	0.33467808564879437	1.2250380697126868	0.949890399714265	-1.865102631853772	-0.5717935787533872	-1.3150811866598398	-0.07144851753334282	0.9956360620337615	1.1058150234601545	3	#BEBADA
AT3G25570	-0.3533121431794445	-1.034704160847283	-1.3110099191037847	0.6245025207561113	0.6195819836100023	0.35141395715112345	-0.5809556361836775	-0.713445004908326	-1.2254804836562057	1.457486150485643	1.5132180640388804	0.6527046718369596	6	#FDB462
AT3G25597	-0.5116781198774631	-1.2281674126685886	-0.7852686100812704	0.9980229145640884	0.16050295619208071	1.4629959931476857	-0.9221510261970393	-1.062748898994298	-0.6688573227989663	1.4495673060765903	0.9469377681681064	0.160844452469075	6	#FDB462
AT3G25710	-0.35257011002993977	-0.5383282535164262	1.5809161495163975	-0.0682089335448011	0.45307023319623896	0.04788079045590006	-1.32254289177871	-1.0582205687512671	-1.266162573193104	0.09544936450685056	1.6854327675340546	0.7432840256048063	3	#BEBADA
AT3G25720	1.0357673007407808	0.8373963671290672	0.23710979250171113	-0.9411155295165756	-0.9038173498316917	-0.9411155295165756	0.6459889089077238	1.3283601409752366	1.4019365436845121	-0.9411155295165756	-0.8603681193388605	-0.8990269962187525	2	#FFFFB3
AT3G25740	-0.7675671833082772	-0.9033913323218611	-1.0264421703187736	1.1286673653415815	0.742093678517017	0.8851489500968717	-0.9955700972584334	-0.9612731105539669	-1.0107361516857591	1.2924293105031501	0.9061184592595494	0.7105222817289014	5	#80B1D3
AT3G25905	0.26825401374785035	0.7421034013717464	0.2891292897598701	-0.3457699632063555	-0.6653270087084138	-1.0528940310605106	2.4062445846391216	0.938665588297299	-0.20619600738053503	-0.7159405161462833	-0.724727974874025	-0.9335413764397629	2	#FFFFB3
AT3G25980	-0.8809035041101989	-0.9194587911210507	-1.105182105059728	0.7205748959399011	1.149730868146189	0.49819498663120426	-0.8545077440451754	-0.8307885843965993	-0.9543479372027538	0.7973363610475448	1.5572993919042974	0.8220521622663709	6	#FDB462
AT3G26050	-1.4002872623798395	-1.2452694518684297	0.03962186780261636	0.6142723894329153	0.7512827690535833	1.0894006721120426	-0.8278616713421193	-0.9409932691260448	-0.8430086946992417	0.6718754691637734	1.5142074052064614	0.5767597766442818	6	#FDB462
AT3G26080	-0.9171910412517658	-1.151032115133808	0.027173123060438533	0.98494330015508	0.587063614658231	1.5089074681093324	-1.0256962025946719	-1.212902998486043	-0.9175075522181436	1.0495251186092711	0.2123164367620111	0.8544008483300676	6	#FDB462
AT3G26237	-0.8986214003651257	-0.6917160727777921	-1.3506029925922296	0.7252155398828396	0.5396844344582553	0.4175798652089631	-0.4028207438349081	-0.9685810829719598	-0.7824361786296173	0.43012049396944796	0.9647844532779271	2.0173936843741993	6	#FDB462
AT3G26240	-0.7453726108013317	-0.8455809927512039	-1.305087681465838	0.3224606663450955	0.9132236052913453	0.6026272896755519	-0.813306045289255	-0.7995913379046354	-0.8596362864220555	0.6953383228659059	1.1146773986200442	1.7202476718363766	6	#FDB462
AT3G26250	0.5709076145081091	1.374070807422898	-0.22986024632953944	-0.8453391221814044	-0.8453391221814044	-0.8453391221814044	0.4415728538609433	1.479669007274375	1.4356746963516396	-0.8453391221814044	-0.8453391221814044	-0.8453391221814044	2	#FFFFB3
AT3G26350	-0.6613738144564921	-0.8163708319114942	-1.3218665793917348	0.8634141355007107	0.6953594037212736	0.5977707647873546	-0.8544224987669731	-0.8709652301150042	-0.8548355808994212	1.4042673614086496	0.3108869703473114	1.50813589977582	6	#FDB462
AT3G26380	-0.7535859583368179	-0.8030952712541699	-1.2151006112844325	1.0234594816541371	1.1525492467447291	0.7390884931950914	-0.9741597175447606	-0.9772265254737287	-0.959830058991766	0.9977147038227461	0.9089571361275983	0.8612290813413722	6	#FDB462
AT3G26395	-0.9508346211030276	-0.9316968331988599	-0.9692595046444749	1.2169242153297124	0.6791722243211737	0.8839298514380487	-0.9170810000219284	-0.9503595457800084	-0.9495994391904794	1.2573913649172481	0.7559928088454941	0.875420479087102	6	#FDB462
